SIGHTINGDATE,LAT,LON,Presence,SOURCE,SOURCE_DETAIL,PACKAGE_ID,Season,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_env_source,Chlorophyll_env_source,Frontal_env_source,Salinity_env_source,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing
2002-04-05,42.08,-69.92,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-05,42.13,-69.97,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-05,42.13,-69.95,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-05,42.22,-70.0,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-05,42.23,-69.1,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-05,42.35,-69.98,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-07,41.23,-70.12,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-11,42.15,-69.92,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-11,42.17,-69.89,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-11,42.17,-69.88,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-12,42.65,-69.76,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-12,42.84,-69.79,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-14,42.26,-70.0,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-14,42.52,-70.01,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-14,43.55,-69.88,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-14,43.58,-69.91,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-15,41.78,-70.55,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,41.51,-69.17,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,41.6,-69.27,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,41.68,-69.29,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,41.68,-69.24,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,41.69,-69.26,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,41.69,-69.23,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,42.32,-70.37,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,42.32,-70.32,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-17,42.46,-70.4,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-20,42.13,-70.46,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-20,42.38,-70.38,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-20,42.82,-69.12,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-20,42.83,-69.0,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-21,42.14,-68.78,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-23,42.03,-70.0,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-23,42.88,-69.03,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-23,42.95,-69.1,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-23,42.95,-69.08,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-23,43.26,-68.78,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-23,43.41,-69.22,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-24,42.26,-70.32,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-24,42.36,-69.91,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-24,42.45,-69.68,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-24,42.6,-69.88,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-24,42.61,-69.61,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-25,42.15,-70.07,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-27,42.16,-70.08,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-27,42.18,-70.08,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-30,41.53,-69.42,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-30,41.62,-69.43,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-30,41.69,-69.59,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-30,41.7,-69.47,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-30,41.83,-68.45,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-30,42.44,-69.62,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-01,42.51,-69.64,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-01,42.6,-69.85,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-01,43.17,-69.43,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-02,42.18,-70.04,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-04,41.63,-69.38,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-04,41.9,-69.8,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-04,42.17,-69.95,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-04,43.15,-69.27,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-04,43.19,-69.36,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.45,-69.17,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.51,-69.19,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.55,-69.34,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.61,-69.32,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.64,-69.44,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.64,-69.32,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.64,-69.3,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.75,-69.54,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.77,-69.52,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,41.78,-69.6,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,42.1,-70.43,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,42.19,-70.32,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,42.2,-70.32,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,42.2,-70.21,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-05,42.2,-70.2,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-06,41.17,-69.12,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-06,41.3,-69.22,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-06,41.3,-68.88,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-08,41.12,-69.07,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-08,41.33,-68.82,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-10,42.48,-69.92,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-11,41.62,-69.12,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.31,-69.2,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.31,-69.19,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.33,-69.21,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.35,-69.25,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.49,-69.25,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.55,-69.55,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.57,-69.52,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.64,-68.4,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.67,-69.31,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.73,-69.52,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-12,41.73,-69.5,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-17,42.24,-70.16,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-20,41.28,-69.17,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-22,41.24,-69.21,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-23,41.23,-69.13,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-24,42.7,-70.53,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-25,41.15,-69.0,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-25,41.27,-69.11,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-25,41.37,-69.06,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-25,41.47,-69.3,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-25,41.65,-69.09,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-25,41.68,-69.33,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-05-26,42.03,-70.37,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-06-03,41.32,-69.0,1,Visual,RWSAS sightings,,Summer,11.85126446280992,0.1048904190095559,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-04,41.78,-68.9,1,Visual,RWSAS sightings,,Summer,11.098595041322312,0.0763216876123686,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-04,42.17,-68.47,1,Visual,RWSAS sightings,,Summer,11.281942148760333,0.0584123274660415,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-08,41.32,-69.17,1,Visual,RWSAS sightings,,Summer,11.409140495867767,0.1847836572860273,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-08,41.39,-68.95,1,Visual,RWSAS sightings,,Summer,10.52522314049587,0.2163145857310595,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-08,41.68,-68.85,1,Visual,RWSAS sightings,,Summer,11.831330578512398,0.2486523677747706,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-08,41.84,-68.48,1,Visual,RWSAS sightings,,Summer,10.431809917355372,0.0768505042273631,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-08,41.87,-68.7,1,Visual,RWSAS sightings,,Summer,11.01676033057851,0.1278328987389394,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-10,41.22,-68.98,1,Visual,RWSAS sightings,,Summer,10.703322314049588,0.033600595232822,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-10,41.47,-69.28,1,Visual,RWSAS sightings,,Summer,11.58601652892562,0.0511077293567228,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-10,42.45,-68.37,1,Visual,RWSAS sightings,,Summer,11.236223140495868,0.0170880074906351,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-11,42.33,-68.35,1,Visual,RWSAS sightings,,Summer,11.361652892561985,0.0130384048104051,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-11,42.47,-68.5,1,Visual,RWSAS sightings,,Summer,11.520528925619834,0.0121757956618856,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-13,41.38,-69.32,1,Visual,RWSAS sightings,,Summer,11.485371900826449,0.0070710678118669,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-14,41.32,-68.98,1,Visual,RWSAS sightings,,Summer,11.45180165289256,0.0111803398875,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-18,41.35,-69.28,1,Visual,RWSAS sightings,,Summer,13.144008264462812,0.230317715341221,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-18,41.35,-69.02,1,Visual,RWSAS sightings,,Summer,13.373033057851242,0.0560290103428571,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-18,41.62,-69.0,1,Visual,RWSAS sightings,,Summer,13.111694214876032,0.1294488315899373,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-18,41.82,-68.85,1,Visual,RWSAS sightings,,Summer,13.348842975206614,0.0747010709427912,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-18,42.23,-67.4,1,Visual,RWSAS sightings,,Summer,11.872206611570247,0.0630317380372774,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-18,42.25,-67.65,1,Visual,RWSAS sightings,,Summer,12.164727272727273,0.0768439978137529,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-19,42.02,-68.45,1,Visual,RWSAS sightings,,Summer,13.382173553719008,0.1039471019317034,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-19,42.15,-66.77,1,Visual,RWSAS sightings,,Summer,11.775239669421488,0.1146211149832351,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-19,42.2,-67.43,1,Visual,RWSAS sightings,,Summer,12.305842975206613,0.0527730992078361,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-20,41.18,-69.08,1,Visual,RWSAS sightings,,Summer,13.987636363636364,0.0736291382538184,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-20,41.22,-69.23,1,Visual,RWSAS sightings,,Summer,13.726719008264462,0.067067130548429,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-20,41.22,-68.98,1,Visual,RWSAS sightings,,Summer,13.854371900826443,0.0646239119831043,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-20,41.32,-68.97,1,Visual,RWSAS sightings,,Summer,13.759024793388429,0.0340587727318517,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-20,41.38,-68.78,1,Visual,RWSAS sightings,,Summer,13.411504132231403,0.054646591842492,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-21,41.2,-69.22,1,Visual,RWSAS sightings,,Summer,14.748685950413224,0.0769366622618894,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-21,41.28,-68.98,1,Visual,RWSAS sightings,,Summer,14.684272727272727,0.0481663783151702,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-24,41.6,-68.63,1,Visual,RWSAS sightings,,Summer,14.50996694214876,0.0151327459504222,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-06-26,41.35,-69.02,1,Visual,RWSAS sightings,,Summer,14.410834710743805,0.0735832861457003,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-01,41.37,-68.9,1,Visual,RWSAS sightings,,Summer,15.304285714285715,0.0460108682813096,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-01,41.4,-68.82,1,Visual,RWSAS sightings,,Summer,15.26818181818182,0.0416082924427328,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-03,42.16,-70.4,1,Visual,RWSAS sightings,,Summer,18.535388429752064,0.0482597140480574,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-03,42.24,-70.3,1,Visual,RWSAS sightings,,Summer,18.28528099173554,0.0824151078383085,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-03,42.25,-70.31,1,Visual,RWSAS sightings,,Summer,18.37220661157024,0.0859491128517341,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-03,42.25,-70.3,1,Visual,RWSAS sightings,,Summer,18.318958677685952,0.0828070045346388,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-06,41.51,-68.55,1,Visual,RWSAS sightings,,Summer,17.130495867768595,0.1799534662072377,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-07,42.46,-69.98,1,Visual,RWSAS sightings,,Summer,18.92714049586777,0.1100727032465355,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-12,41.48,-69.07,1,Visual,RWSAS sightings,,Summer,17.668909090909096,0.0679153885360314,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-12,41.87,-68.65,1,Visual,RWSAS sightings,,Summer,17.99982644628099,0.0360451106254366,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-17,41.66,-68.57,1,Visual,RWSAS sightings,,Summer,17.91190909090909,0.082038100904394,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-17,41.94,-68.4,1,Visual,RWSAS sightings,,Summer,17.83707438016529,0.1119564647530448,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-25,43.86,-66.66,1,Visual,RWSAS sightings,,Summer,12.853338842975203,0.0368917334913929,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-27,42.53,-67.2,1,Visual,RWSAS sightings,,Summer,16.269157024793387,0.0595503988231816,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-07-27,42.93,-67.18,1,Visual,RWSAS sightings,,Summer,15.11287603305785,0.054168717909878,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-08-02,42.14,-70.14,1,Visual,RWSAS sightings,,Summer,19.42360330578512,0.0413400532171899,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-08-08,38.93,-74.79,1,Visual,RWSAS sightings,,Summer,23.502529914529916,0.0573846669416151,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-08-08,42.8,-65.58,1,Visual,RWSAS sightings,,Summer,17.381702479338845,0.1244829305567612,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-08-13,43.88,-66.72,1,Visual,RWSAS sightings,,Summer,15.308322314049589,0.1146298390472561,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-08-20,44.12,-67.6,1,Visual,RWSAS sightings,,Summer,15.83490909090909,0.1028007782071712,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-08-20,44.15,-67.62,1,Visual,RWSAS sightings,,Summer,15.693619834710743,0.1155508546052339,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
2002-08-20,44.16,-67.64,1,Visual,RWSAS sightings,,Summer,15.57300826446281,0.1235607138211819,,,,jplMURSST41.analysed_sst,,gradient(jplMURSST41.analysed_sst),,1,1,0,0,0,1
